Episode,Total Reward,Steps,Epsilon
395,8285.854696358067,1440,0.001
396,10360.686152757286,897,0.001
397,9270.08090977545,822,0.001
398,9448.417134914956,809,0.001
399,9199.20456324457,836,0.001
400,1213.7022264465966,1087,0.001
401,9205.569878317745,838,0.001
402,9696.345466259923,760,0.001
403,8734.669100136787,943,0.001
404,4247.69925153374,1071,0.001
405,9324.79038659869,891,0.001
406,8690.855818014907,949,0.001
407,9057.009970973697,845,0.001
408,8465.912674536521,965,0.001
409,12752.118211242692,1414,0.001
410,9776.645062630972,766,0.001
411,9733.140425580412,777,0.001
412,9789.761914387853,762,0.001
413,9183.289410333657,836,0.001
414,9069.624799197527,845,0.001
415,10224.686415754248,894,0.001
416,9614.625816131002,803,0.001
417,10092.804268175509,910,0.001
418,9154.960646333704,793,0.001
419,9728.231315117564,757,0.001
420,2626.5827564452584,1048,0.001
421,9726.774191063449,757,0.001
422,9413.51020440437,793,0.001
423,9172.330779775459,830,0.001
424,7953.619994505816,1046,0.001
425,5483.737310864038,596,0.001
426,8920.933989508836,954,0.001
427,4271.7351505154775,2232,0.001
428,1861.6486822111185,1028,0.001
429,3731.042331112278,979,0.001
430,8640.147300395976,924,0.001
431,10945.688425640894,994,0.001
432,8519.358783255622,939,0.001
433,8545.695588381746,935,0.001
434,8595.695772355035,931,0.001
435,3474.48553399107,887,0.001
436,8076.400424295117,1332,0.001
437,-3743.8543248780347,2700,0.001
438,467.9915122414675,1187,0.001
439,586.6946314131684,1175,0.001
440,795.8830058890964,1157,0.001
441,1694.1393696021564,1160,0.001
442,3077.217717086915,1180,0.001
443,485.6568919360333,1227,0.001
444,1330.3774937371027,1179,0.001
445,1077.1004164623184,1183,0.001
446,2564.6170741118676,1240,0.001
447,679.806183531738,1159,0.001
448,1969.389025766334,1152,0.001
449,1486.7240723002471,1214,0.001
450,773.5514477555935,1158,0.001
451,729.3988607793763,1211,0.001
452,533.3446085494251,1129,0.001
453,3368.7167145655085,1225,0.001
454,2363.35249036775,1192,0.001
455,505.62688131669574,1201,0.001
456,397.05258928225436,1239,0.001
457,3231.3930555709876,1147,0.001
458,1025.1006901700287,1119,0.001
459,-1740.0813220410005,1664,0.001
460,602.3462485979392,1174,0.001
461,577.4434807762136,1164,0.001
462,-1469.9565409354818,1602,0.001
463,584.5044186287734,1180,0.001
464,-1902.41134381346,2140,0.001
465,586.2841142553941,1065,0.001
466,2048.2006361191256,1176,0.001
467,2303.161988076905,753,0.001
468,444.50732439721224,1144,0.001
469,-20.817988632876705,1203,0.001
470,-338.69179127643304,1561,0.001
471,4990.508356050954,1134,0.001
472,2209.0722861488803,773,0.001
473,2297.3265524051108,1137,0.001
474,1800.0528625859706,1151,0.001
475,-4781.817204746802,2057,0.001
476,-4306.054900807545,2148,0.001
477,715.0740982376964,1052,0.001
478,3046.198236546755,759,0.001
479,975.9622716082337,1209,0.001
480,520.7200985313904,1204,0.001
481,796.9591336826484,1148,0.001
482,57.868647159571935,1629,0.001
483,-4426.487283072568,1988,0.001
484,2740.7276615906458,1142,0.001
485,718.6629931744155,1677,0.001
486,296.6166282110153,1187,0.001
487,-60.91974311095096,1666,0.001
488,5200.94054692574,1193,0.001
489,1067.7129069027399,1022,0.001
490,3463.561916494961,1020,0.001
491,2108.2391762649177,1249,0.001
492,2681.999979454128,1192,0.001
493,465.5462814038325,1153,0.001
494,794.0395251314169,1190,0.001
495,1100.0168112402143,1138,0.001
496,2375.8936638112928,1218,0.001
497,2321.195564969383,1185,0.001
498,2649.61716835601,2125,0.001
499,-4083.4752395111514,2025,0.001
500,5080.559973189732,1632,0.001
501,326.27312537572595,1185,0.001
502,3025.810639899781,1251,0.001
503,2676.912743898352,1244,0.001
504,2202.1666955154274,757,0.001
505,2513.187702390531,1081,0.001
506,9634.942893964107,1647,0.001
507,2234.0457214743988,767,0.001
508,2144.5873464245333,796,0.001
509,658.5115656139138,1189,0.001
510,3820.8828008674263,709,0.001
